# DIRECT ASCENT ASAT TRAJECTORY EPHEMERIS (ECI J2000)
# Time of Flight: 9000 seconds
# Columns: Time(s), Pos_X(m), Pos_Y(m), Pos_Z(m), Vel_X(m/s), Vel_Y(m/s), Vel_Z(m/s)
# -----------------------------------------------------------------------------------------------
  203,   4124351.0152,   5276085.7705,   3223817.4343,  -3974.2530,   5475.3326,   7254.2467
  204,   4120374.7621,   5281558.5427,   3231070.1158,  -3978.2513,   5470.2126,   7251.1163
  205,   4116394.5164,   5287026.1972,   3238319.6666,  -3982.2380,   5465.0973,   7247.9851
  206,   4112410.2899,   5292488.7388,   3245566.0857,  -3986.2131,   5459.9867,   7244.8529
  207,   4108422.0942,   5297946.1721,   3252809.3722,  -3990.1766,   5454.8808,   7241.7199
  208,   4104429.9407,   5303398.5019,   3260049.5252,  -3994.1285,   5449.7795,   7238.5860
  209,   4100433.8410,   5308845.7327,   3267286.5439,  -3998.0689,   5444.6830,   7235.4512
  210,   4096433.8067,   5314287.8694,   3274520.4274,  -4001.9978,   5439.5911,   7232.3156
  211,   4092429.8493,   5319724.9165,   3281751.1748,  -4005.9152,   5434.5040,   7229.1792
  212,   4088421.9801,   5325156.8789,   3288978.7855,  -4009.8212,   5429.4215,   7226.0420
  213,   4084410.2107,   5330583.7611,   3296203.2586,  -4013.7157,   5424.3438,   7222.9040
  214,   4080394.5525,   5336005.5680,   3303424.5932,  -4017.5989,   5419.2708,   7219.7652
  215,   4076375.0167,   5341422.3043,   3310642.7887,  -4021.4707,   5414.2025,   7216.6257
  216,   4072351.6148,   5346833.9747,   3317857.8444,  -4025.3311,   5409.1390,   7213.4855
  217,   4068324.3582,   5352240.5838,   3325069.7594,  -4029.1803,   5404.0802,   7210.3445
  218,   4064293.2580,   5357642.1366,   3332278.5332,  -4033.0181,   5399.0261,   7207.2029
  219,   4060258.3257,   5363038.6376,   3339484.1649,  -4036.8447,   5393.9768,   7204.0605
  220,   4056219.5724,   5368430.0917,   3346686.6540,  -4040.6601,   5388.9322,   7200.9175
  221,   4052177.0093,   5373816.5035,   3353885.9998,  -4044.4642,   5383.8923,   7197.7739
  222,   4048130.6477,   5379197.8779,   3361082.2016,  -4048.2571,   5378.8573,   7194.6296
  223,   4044080.4988,   5384574.2197,   3368275.2588,  -4052.0389,   5373.8270,   7191.4847
  224,   4040026.5736,   5389945.5335,   3375465.1709,  -4055.8096,   5368.8014,   7188.3393
  225,   4035968.8833,   5395311.8241,   3382651.9372,  -4059.5691,   5363.7806,   7185.1932
  226,   4031907.4390,   5400673.0963,   3389835.5571,  -4063.3176,   5358.7646,   7182.0466
  227,   4027842.2517,   5406029.3550,   3397016.0302,  -4067.0550,   5353.7534,   7178.8994
  228,   4023773.3325,   5411380.6047,   3404193.3558,  -4070.7814,   5348.7470,   7175.7518
  229,   4019700.6925,   5416726.8505,   3411367.5335,  -4074.4968,   5343.7453,   7172.6036
  230,   4015624.3425,   5422068.0970,   3418538.5628,  -4078.2013,   5338.7484,   7169.4548
  231,   4011544.2936,   5427404.3490,   3425706.4431,  -4081.8947,   5333.7564,   7166.3057
  232,   4007460.5567,   5432735.6113,   3432871.1740,  -4085.5773,   5328.7691,   7163.1560
  233,   4003373.1427,   5438061.8888,   3440032.7550,  -4089.2489,   5323.7866,   7160.0059
  234,   3999282.0624,   5443383.1862,   3447191.1857,  -4092.9097,   5318.8089,   7156.8554
  235,   3995187.3268,   5448699.5083,   3454346.4656,  -4096.5597,   5313.8361,   7153.7044
  236,   3991088.9467,   5454010.8599,   3461498.5944,  -4100.1988,   5308.8680,   7150.5531
  237,   3986986.9329,   5459317.2459,   3468647.5717,  -4103.8271,   5303.9048,   7147.4014
  238,   3982881.2961,   5464618.6711,   3475793.3970,  -4107.4447,   5298.9464,   7144.2492
  239,   3978772.0471,   5469915.1403,   3482936.0700,  -4111.0515,   5293.9928,   7141.0968
  240,   3974659.1967,   5475206.6583,   3490075.5904,  -4114.6476,   5289.0440,   7137.9440
  241,   3970542.7556,   5480493.2299,   3497211.9578,  -4118.2330,   5284.1001,   7134.7908
  242,   3966422.7343,   5485774.8600,   3504345.1720,  -4121.8077,   5279.1609,   7131.6374
  243,   3962299.1436,   5491051.5534,   3511475.2325,  -4125.3718,   5274.2267,   7128.4837
  244,   3958171.9942,   5496323.3149,   3518602.1392,  -4128.9253,   5269.2972,   7125.3296
  245,   3954041.2965,   5501590.1494,   3525725.8917,  -4132.4682,   5264.3726,   7122.1754
  246,   3949907.0612,   5506852.0617,   3532846.4898,  -4136.0006,   5259.4528,   7119.0208
  247,   3945769.2989,   5512109.0567,   3539963.9333,  -4139.5224,   5254.5379,   7115.8660
  248,   3941628.0200,   5517361.1392,   3547078.2218,  -4143.0337,   5249.6278,   7112.7111
  249,   3937483.2350,   5522608.3140,   3554189.3553,  -4146.5345,   5244.7226,   7109.5559
  250,   3933334.9545,   5527850.5860,   3561297.3335,  -4150.0248,   5239.8222,   7106.4005
  251,   3929183.1888,   5533087.9601,   3568402.1562,  -4153.5047,   5234.9267,   7103.2449
  252,   3925027.9485,   5538320.4411,   3575503.8232,  -4156.9742,   5230.0361,   7100.0892
  253,   3920869.2438,   5543548.0339,   3582602.3344,  -4160.4334,   5225.1503,   7096.9333
  254,   3916707.0852,   5548770.7433,   3589697.6897,  -4163.8821,   5220.2693,   7093.7773
  255,   3912541.4830,   5553988.5742,   3596789.8889,  -4167.3205,   5215.3933,   7090.6211
  256,   3908372.4475,   5559201.5314,   3603878.9319,  -4170.7487,   5210.5221,   7087.4649
  257,   3904199.9891,   5564409.6199,   3610964.8187,  -4174.1665,   5205.6557,   7084.3085
  258,   3900024.1180,   5569612.8445,   3618047.5490,  -4177.5741,   5200.7943,   7081.1521
  259,   3895844.8444,   5574811.2100,   3625127.1229,  -4180.9714,   5195.9377,   7077.9957
  260,   3891662.1786,   5580004.7214,   3632203.5403,  -4184.3585,   5191.0859,   7074.8391
  261,   3887476.1307,   5585193.3835,   3639276.8011,  -4187.7355,   5186.2391,   7071.6826
  262,   3883286.7110,   5590377.2012,   3646346.9054,  -4191.1023,   5181.3971,   7068.5260
  263,   3879093.9296,   5595556.1794,   3653413.8531,  -4194.4589,   5176.5601,   7065.3694
  264,   3874897.7965,   5600730.3230,   3660477.6441,  -4197.8055,   5171.7278,   7062.2128
  265,   3870698.3220,   5605899.6367,   3667538.2786,  -4201.1419,   5166.9005,   7059.0562
  266,   3866495.5161,   5611064.1257,   3674595.7565,  -4204.4683,   5162.0781,   7055.8996
  267,   3862289.3887,   5616223.7946,   3681650.0778,  -4207.7847,   5157.2606,   7052.7431
  268,   3858079.9500,   5621378.6484,   3688701.2427,  -4211.0910,   5152.4479,   7049.5867
  269,   3853867.2100,   5626528.6920,   3695749.2512,  -4214.3874,   5147.6401,   7046.4303
  270,   3849651.1785,   5631673.9303,   3702794.1033,  -4217.6738,   5142.8372,   7043.2740
